Mod:Item:MetaData, Localized Name
pressure:canister:0, 金属罐 - 附魔金属
pressure:canister:0, 金属罐 - 熔融恶魔金属
pressure:canister:0, 金属罐 - 植物油
pressure:canister:0, 金属罐 - 乙醇
pressure:canister:0, 金属罐 - 生物柴油
pressure:canister:0, 金属罐 - 液态混凝土
pressure:canister:0, 金属罐 - 熔融铀
pressure:canister:0, 金属罐 - 原油
pressure:canister:0, 金属罐 - 柴油
pressure:canister:0, 金属罐 - 润滑油
pressure:canister:0, 金属罐 - 汽油
pressure:canister:0, 金属罐 - 凝固汽油
pressure:canister:0, 金属罐 - 蒸馏水
pressure:canister:0, 金属罐 - 精华液
pressure:canister:0, 金属罐 - 肉汤
pressure:canister:0, 金属罐 - 胶乳
pressure:canister:0, 金属罐 - 污水
pressure:canister:0, 金属罐 - 污泥
pressure:canister:0, 金属罐 - 生物燃油
pressure:canister:0, 金属罐 - 粉红史莱姆球
pressure:canister:0, 金属罐 - 蛋白质
pressure:canister:0, 金属罐 - 生矿物肉汤
pressure:canister:0, 金属罐 - 发酵矿物肉汤
pressure:canister:0, 金属罐 - 门瑞欧树脂
pressure:canister:0, 金属罐 - 紫颂果汁
pressure:canister:0, 金属罐 - fluid.pure_matter
pressure:canister:0, 金属罐 - 熔融耐酸铝
pressure:canister:0, 金属罐 - 熔融锇
pressure:canister:0, 金属罐 - 熔融强化黑曜石
pressure:canister:0, 金属罐 - 强化荧石
pressure:canister:0, 金属罐 - 熔融锇荧黑曜合金
pressure:canister:0, 金属罐 - 熔融铱锇合金
pressure:canister:0, 金属罐 - 熔融钛
pressure:canister:0, 金属罐 - 熔融泰拉钢
pressure:canister:0, 金属罐 - 熔融源质钢
pressure:canister:0, 金属罐 - 熔融魔力钢
pressure:canister:0, 金属罐 - 熔融蕴魔结晶
pressure:canister:0, 金属罐 - 熔融Psi金属
pressure:canister:0, 金属罐 - 熔融神秘
pressure:canister:0, 金属罐 - 经验汁
pressure:canister:0, 金属罐 - 爬行者酸液
pressure:canister:0, 金属罐 - 结晶之水
pressure:canister:0, 金属罐 - 等离子物质
pressure:canister:0, 金属罐 - 熔融三钛合金
pressure:canister:0, 金属罐 - 营养精华液
pressure:canister:0, 金属罐 - 深渊露水
pressure:canister:0, 金属罐 - 轻盈之气
pressure:canister:0, 金属罐 - 烈酒
pressure:canister:0, 金属罐 - 火箭燃料
pressure:canister:0, 金属罐 - 火焰水
pressure:canister:0, 金属罐 - 液态阳光
pressure:canister:0, 金属罐 - 云之精华
pressure:canister:0, 金属罐 - 浓缩云之精华
pressure:canister:0, 金属罐 - 氧气
pressure:canister:0, 金属罐 - 氢
pressure:canister:0, 金属罐 - 火箭燃料
pressure:canister:0, 金属罐 - 氮气
pressure:canister:0, 金属罐 - 咒波黏浆
pressure:canister:0, 金属罐 - 死亡之水
pressure:canister:0, 金属罐 - 净化之水
pressure:canister:0, 金属罐 - 熔融焦黑石头
pressure:canister:0, 金属罐 - 熔融黑曜石
pressure:canister:0, 金属罐 - 熔融粘土
pressure:canister:0, 金属罐 - 液态泥土
pressure:canister:0, 金属罐 - 熔融绿宝石
pressure:canister:0, 金属罐 - 血
pressure:canister:0, 金属罐 - 液态蓝色史莱姆
pressure:canister:0, 金属罐 - 液态紫色史莱姆
pressure:canister:0, 金属罐 - 生命源质
pressure:canister:0, 金属罐 - 精炼生命精华
pressure:canister:0, 金属罐 - 液态黄铀
pressure:canister:0, 金属罐 - 液态蓝晶
pressure:canister:0, 金属罐 - fluid.fuelcolumn
pressure:canister:0, 金属罐 - 丹宁酸
pressure:canister:0, 金属罐 - 乳胶漆
pressure:canister:0, 金属罐 - 盐水
pressure:canister:0, 金属罐 - 废水
pressure:canister:0, 金属罐 - 沥青
pressure:canister:0, 金属罐 - 沸腾沥青
pressure:canister:0, 金属罐 - 石蜡
pressure:canister:0, 金属罐 - 玄武岩岩浆
pressure:canister:0, 金属罐 - 暗黑羊奶
pressure:canister:0, 金属罐 - 烟
pressure:canister:0, 金属罐 - 纯金属
pressure:canister:0, 金属罐 - 豆浆
pressure:canister:0, 金属罐 - 酱油
pressure:canister:0, 金属罐 - 米醋
pressure:canister:0, 金属罐 - 果醋
pressure:canister:0, 金属罐 - 香油
pressure:canister:0, 金属罐 - 食用油
pressure:canister:0, 金属罐 - 甘蔗汁
pressure:canister:0, 金属罐 - 果汁
pressure:canister:0, 金属罐 - 星能液
pressure:canister:0, 金属罐 - 熔融星辉
pressure:canister:0, 金属罐 - 熔融龙
pressure:canister:0, 金属罐 - 熔融秘银
pressure:canister:0, 金属罐 - 熔融Tritanium
pressure:canister:0, 金属罐 - 熔融钨
pressure:configurator, 流体过滤调置器
pressure:pipe, 压力管道
pressure:check_valve, 高压遏制阀门
pressure:pipe_sensor, 压力管道感应器
pressure:pump, 高压泵
pressure:output, 高压输出接口
pressure:input, 高压输入接口
pressure:water_source, 无限水源块
pressure:creative_source, 创造液体源块
pressure:drain, 水库排液口
pressure:sluice, 水闸
pressure:tank_controller, 水库主控器
pressure:router, 高压路由器
pressure:tank_block, 水库方块
pressure:tank_indicator, 水库流体指示计
pressure:tank_fluid_output, 水库流体输出接口
pressure:tank_fluid_output_auto, 水库自动输出接口
pressure:tank_fluid_input, 水库流体输入接口
pressure:tank_fluid_access, 水库访问接口
pressure:tank_pressure_output, 水库高压输出接口
pressure:tank_pressure_input, 水库高压输入接口
pressure:tank_interface, 水库端口
pressure:tank_filter, 流体过滤器
pressure:tank_sensor, 水库感应器
pressure:tank_gas_input, 水库燃气输入接口
pressure:tank_gas_output, 水库燃气输出端口
pressure:gas_input, 高压燃气输入端扣
pressure:gas_output, 高压燃气输出端口
projectred-integration:gate:0, 或门
projectred-integration:gate:1, 或非门
projectred-integration:gate:2, 非门
projectred-integration:gate:3, 与门
projectred-integration:gate:4, 与非门
projectred-integration:gate:5, 异或门
projectred-integration:gate:6, 异或非门
projectred-integration:gate:7, 缓冲器
projectred-integration:gate:8, 多路复用器
projectred-integration:gate:9, 脉冲发生器
projectred-integration:gate:10, 中继器
projectred-integration:gate:11, 随机信号发生器
projectred-integration:gate:12, RS锁存器
projectred-integration:gate:13, T触发器
projectred-integration:gate:14, 透明锁存器
projectred-integration:gate:15, 光照传感器
projectred-integration:gate:16, 雨雪传感器
projectred-integration:gate:17, 计时器
projectred-integration:gate:18, 序列发生器
projectred-integration:gate:19, 计数器
projectred-integration:gate:20, 状态单元
projectred-integration:gate:21, 同步器
projectred-integration:gate:22, 总线收发器
projectred-integration:gate:23, 空单元
projectred-integration:gate:24, 转换单元
projectred-integration:gate:25, 缓冲单元
projectred-integration:gate:26, 比较器
projectred-integration:gate:27, 与单元
projectred-integration:gate:28, 总线随机发生器
projectred-integration:gate:29, 总线转换器
projectred-integration:gate:30, 总线输入板
projectred-integration:gate:31, 数据储存器
projectred-integration:gate:32, 分段显示门
projectred-integration:gate:33, 减速随机发生器
projectred-integration:gate:34, IC门
projectred-transmission:wire:0, 红色合金丝
projectred-transmission:wire:1, 白色绝缘线缆
projectred-transmission:wire:2, 橙色绝缘线缆
projectred-transmission:wire:3, 品红色绝缘线缆
projectred-transmission:wire:4, 淡蓝色绝缘线缆
projectred-transmission:wire:5, 黄色绝缘线缆
projectred-transmission:wire:6, 黄绿色绝缘线缆
projectred-transmission:wire:7, 粉红色绝缘线缆
projectred-transmission:wire:8, 灰色绝缘线缆
projectred-transmission:wire:9, 淡灰色绝缘线缆
projectred-transmission:wire:10, 青色绝缘线缆
projectred-transmission:wire:11, 紫色绝缘线缆
projectred-transmission:wire:12, 蓝色绝缘线缆
projectred-transmission:wire:13, 棕色绝缘线缆
projectred-transmission:wire:14, 绿色绝缘线缆
projectred-transmission:wire:15, 红色绝缘线缆
projectred-transmission:wire:16, 黑色绝缘线缆
projectred-transmission:wire:17, 集束线缆
projectred-transmission:wire:18, 白色集束线缆
projectred-transmission:wire:19, 橙色集束线缆
projectred-transmission:wire:20, 品红色集束线缆
projectred-transmission:wire:21, 淡蓝色集束线缆
projectred-transmission:wire:22, 黄色集束线缆
projectred-transmission:wire:23, 黄绿色集束线缆
projectred-transmission:wire:24, 粉红色集束线缆
projectred-transmission:wire:25, 灰色集束线缆
projectred-transmission:wire:26, 淡灰色集束线缆
projectred-transmission:wire:27, 青色集束线缆
projectred-transmission:wire:28, 紫色集束线缆
projectred-transmission:wire:29, 蓝色集束线缆
projectred-transmission:wire:30, 棕色集束线缆
projectred-transmission:wire:31, 绿色集束线缆
projectred-transmission:wire:32, 红色集束线缆
projectred-transmission:wire:33, 黑色集束线缆
projectred-transmission:wire:34, 低负载功率线缆
projectred-transmission:framed_wire:0, 框架红色合金丝
projectred-transmission:framed_wire:1, 框架白色绝缘线缆
projectred-transmission:framed_wire:2, 框架橙色绝缘线缆
projectred-transmission:framed_wire:3, 框架品红色绝缘线缆
projectred-transmission:framed_wire:4, 框架淡蓝色绝缘线缆
projectred-transmission:framed_wire:5, 框架黄色绝缘线缆
projectred-transmission:framed_wire:6, 框架黄绿色绝缘线缆
projectred-transmission:framed_wire:7, 框架粉红色绝缘线缆
projectred-transmission:framed_wire:8, 框架灰色绝缘线缆
projectred-transmission:framed_wire:9, 框架淡灰色绝缘线缆
projectred-transmission:framed_wire:10, 框架青色绝缘线缆
projectred-transmission:framed_wire:11, 框架紫色绝缘线缆
projectred-transmission:framed_wire:12, 框架蓝色绝缘线缆
projectred-transmission:framed_wire:13, 框架棕色绝缘线缆
projectred-transmission:framed_wire:14, 框架绿色绝缘线缆
projectred-transmission:framed_wire:15, 框架红色绝缘线缆
projectred-transmission:framed_wire:16, 框架黑色绝缘线缆
projectred-transmission:framed_wire:17, 框架集束线缆
projectred-transmission:framed_wire:34, 框架低负载功率线缆
projectred-fabrication:ic_machine:0, IC工作台
projectred-fabrication:ic_machine:1, IC印刷机
projectred-fabrication:ic_blueprint, IC蓝图
projectred-fabrication:ic_chip:0, IC芯片
projectred-fabrication:ic_chip:1, 创造模式IC芯片
quantumstorage:quantum_tank, 量子储罐
quantumstorage:quantum_barrel, 量子桶
quantumstorage:crater, 装箱机
quantumstorage:chest_iron, 强化铁箱子
quantumstorage:chest_gold, 强化金箱子
quantumstorage:chest_diamond, 强化钻石箱子
quantumstorage:quantum_storage_unit, 量子存储单元
quantumstorage:quantumcrafter, 量子合成器
quantumstorage:trashcan, 垃圾桶
quantumstorage:trashcanfluid, 流体垃圾桶
randomthings:fertilizeddirt, 沃土
randomthings:fertilizeddirttilled, 沃土
randomthings:playerinterface, 玩家接口
randomthings:creativeplayerinterface, 创造玩家接口
randomthings:lapisglass, 青金石玻璃
randomthings:lapislamp, 青金石灯
randomthings:dyeingmachine, 填涂机
randomthings:onlinedetector, 在线侦测器
randomthings:chatdetector, 聊天检测器
randomthings:enderbridge, 末影桥
randomthings:prismarineenderbridge, 海晶石末影桥
randomthings:enderanchor, 末影锚
randomthings:beanstalk, 魔豆茎
randomthings:lesserbeanstalk, 次级魔豆茎
randomthings:beanpod, 豆荚
randomthings:lightredirector, 光线折射器
randomthings:imbuingstation, 灌注台
randomthings:spectreblock, 通灵方块
randomthings:specialchest:0, 自然箱子
randomthings:specialchest:1, 水箱子
randomthings:analogemitter, 模拟信号发生器
randomthings:fluiddisplay, 液体伪装方块
randomthings:customworkbench, 工作台
randomthings:endermailbox, 末影邮箱
randomthings:pitcherplant, 猪笼草
randomthings:platform:0, 橡木平台
randomthings:platform:1, 云杉木平台
randomthings:platform:2, 白桦木平台
randomthings:platform:3, 丛林木平台
randomthings:platform:4, 金合欢木平台
randomthings:platform:5, 深色橡木平台
randomthings:entitydetector, 实体检测器
randomthings:quartzlamp, 石英灯
randomthings:quartzglass, 石英玻璃
randomthings:potionvaporizer, 药水雾化器
randomthings:voxelprojector, [未完成] 三维投影仪
randomthings:contactbutton, 接触式按钮
randomthings:contactlever, 接触式拉杆
randomthings:sakanade, 纤毛孢子
randomthings:rainshield, 驱雨盾
randomthings:blockbreaker, 方块破坏器
randomthings:superlubricentice, 超级滑滑冰
randomthings:compressedslimeblock, 压缩粘液块
randomthings:superlubricentplatform, 超级滑滑冰平台
randomthings:filteredsuperlubricentplatform, 超级滑滑冰平台（物品过滤）
randomthings:redstoneobserver, 红石观测仪
randomthings:biomeradar, 生物群系雷达
randomthings:irondropper, 铁质发射器
randomthings:igniter, 点火器
randomthings:blockofsticks:0, 脚手架
randomthings:blockofsticks:1, 强化脚手架
randomthings:blazingfire, tile.blazingFire.name
randomthings:luminousblock:0, 荧光白色方块
randomthings:luminousblock:1, 荧光橙色方块
randomthings:luminousblock:2, 荧光品红色方块
randomthings:luminousblock:3, 荧光淡蓝色方块
randomthings:luminousblock:4, 荧光黄色方块
randomthings:luminousblock:5, 荧光黄绿色方块
randomthings:luminousblock:6, 荧光粉色方块
randomthings:luminousblock:7, 荧光灰色方块
randomthings:luminousblock:8, 荧光淡灰色方块
randomthings:luminousblock:9, 荧光青色方块
randomthings:luminousblock:10, 荧光紫色方块
randomthings:luminousblock:11, 荧光蓝色方块
randomthings:luminousblock:12, 荧光棕色方块
randomthings:luminousblock:13, 荧光绿色方块
randomthings:luminousblock:14, 荧光红色方块
randomthings:luminousblock:15, 荧光黑色方块
randomthings:translucentluminousblock:0, 通透荧光白色方块
randomthings:translucentluminousblock:1, 通透荧光橙色方块
randomthings:translucentluminousblock:2, 通透荧光品红色方块
randomthings:translucentluminousblock:3, 通透荧光淡蓝色方块
randomthings:translucentluminousblock:4, 通透荧光黄色方块
randomthings:translucentluminousblock:5, 通透荧光黄绿色方块
randomthings:translucentluminousblock:6, 通透荧光粉色方块
randomthings:translucentluminousblock:7, 通透荧光灰色方块
randomthings:translucentluminousblock:8, 通透荧光淡灰色方块
randomthings:translucentluminousblock:9, 通透荧光青色方块
randomthings:translucentluminousblock:10, 通透荧光紫色方块
randomthings:translucentluminousblock:11, 通透荧光蓝色方块
randomthings:translucentluminousblock:12, 通透荧光棕色方块
randomthings:translucentluminousblock:13, 通透荧光绿色方块
randomthings:translucentluminousblock:14, 通透荧光红色方块
randomthings:translucentluminousblock:15, 通透荧光黑色方块
randomthings:inventoryrerouter, 物流管理器
randomthings:slimecube, §a粘液立方体§7
randomthings:peacecandle, 和平蜡烛
randomthings:notificationinterface, 通知接口
randomthings:glowingmushroom, 荧光菇
randomthings:inventorytester, 物流检测器
randomthings:superlubricentstone, 超级滑滑石
randomthings:globalchatdetector, 全局聊天检测器
randomthings:triggerglass, 感知玻璃
randomthings:blockdestabilizer, 干扰器
randomthings:ancientbrick, 远古石砖[内部]
randomthings:soundbox, 音箱
randomthings:sounddampener, 隔音器
randomthings:diaphanousblock, 通透方块
randomthings:sidedredstone, 单向红石块
randomthings:spectrelens, 通灵镜片
randomthings:spectreenergyinjector, 通灵能量注入器
randomthings:plate_processing, 集成压力板
randomthings:spectrecoil_normal, 通灵线圈
randomthings:spectrecoil_redstone, 红石通灵线圈
randomthings:spectrecoil_ender, 末影通灵线圈
randomthings:spectrecoil_number, Nr. %s通灵线圈
randomthings:spectrecoil_genesis, 创造模式通灵线圈
randomthings:advancedredstonerepeater, 高级红石中继器
randomthings:advancedredstonetorch_on, 高级红石火把
randomthings:floobrick, 飞路砖
randomthings:spectreplank, 通灵木板
randomthings:spectresapling, 通灵树苗
randomthings:spectrelog, 通灵原木
randomthings:spectreleaf, 通灵树叶
randomthings:itemcollector, 物品收集器
randomthings:advanceditemcollector, 高级物品收集器
randomthings:naturecore, 自然核心
randomthings:biomestone:0, 自然感知圆石
randomthings:biomestone:1, 自然感知石头
randomthings:biomestone:2, 自然感知石砖
randomthings:biomestone:3, 自然感知裂石砖
randomthings:biomestone:4, 自然感知錾制石砖
randomthings:biomeglass, 自然感知玻璃
randomthings:coloredgrass:0, 白色草方块
randomthings:coloredgrass:1, 橙色草方块
randomthings:coloredgrass:2, 品红色草方块
randomthings:coloredgrass:3, 淡蓝色草方块
randomthings:coloredgrass:4, 黄色草方块
randomthings:coloredgrass:5, 黄绿色草方块
randomthings:coloredgrass:6, 粉色草方块
randomthings:coloredgrass:7, 灰色草方块
randomthings:coloredgrass:8, 淡灰色草方块
randomthings:coloredgrass:9, 青色草方块
randomthings:coloredgrass:10, 紫色草方块
randomthings:coloredgrass:11, 蓝色草方块
randomthings:coloredgrass:12, 棕色草方块
randomthings:coloredgrass:13, 绿色草方块
randomthings:coloredgrass:14, 红色草方块
randomthings:coloredgrass:15, 黑色草方块
randomthings:spectrecore, 通灵核心
randomthings:rainbowlamp, 彩虹灯
randomthings:basicredstoneinterface, 基础红石接口
randomthings:advancedredstoneinterface, 高级红石接口
randomthings:stainedbrick:0, 白色染色砖块
randomthings:stainedbrick:1, 橙色染色砖块
randomthings:stainedbrick:2, 品红色染色砖块
randomthings:stainedbrick:3, 淡蓝色染色砖块
randomthings:stainedbrick:4, 黄色染色砖块
randomthings:stainedbrick:5, 黄绿色染色砖块
randomthings:stainedbrick:6, 粉色染色砖块
randomthings:stainedbrick:7, 灰色染色砖块
randomthings:stainedbrick:8, 淡灰色染色砖块
randomthings:stainedbrick:9, 青色染色砖块
randomthings:stainedbrick:10, 紫色染色砖块
randomthings:stainedbrick:11, 蓝色染色砖块
randomthings:stainedbrick:12, 棕色染色砖块
randomthings:stainedbrick:13, 绿色染色砖块
randomthings:stainedbrick:14, 红色染色砖块
randomthings:stainedbrick:15, 黑色染色砖块
randomthings:luminousstainedbrick:0, 荧光白色染色砖块
randomthings:luminousstainedbrick:1, 荧光橙色染色砖块
randomthings:luminousstainedbrick:2, 荧光品红色染色砖块
randomthings:luminousstainedbrick:3, 荧光淡蓝色染色砖块
randomthings:luminousstainedbrick:4, 荧光黄色染色砖块
randomthings:luminousstainedbrick:5, 荧光黄绿色染色砖块
randomthings:luminousstainedbrick:6, 荧光粉色染色砖块
randomthings:luminousstainedbrick:7, 荧光灰色染色砖块
randomthings:luminousstainedbrick:8, 荧光淡灰色染色砖块
randomthings:luminousstainedbrick:9, 荧光青色染色砖块
randomthings:luminousstainedbrick:10, 荧光紫色染色砖块
randomthings:luminousstainedbrick:11, 荧光蓝色染色砖块
randomthings:luminousstainedbrick:12, 荧光棕色染色砖块
randomthings:luminousstainedbrick:13, 荧光绿色染色砖块
randomthings:luminousstainedbrick:14, 荧光红色染色砖块
randomthings:luminousstainedbrick:15, 荧光黑色染色砖块
randomthings:plate_redirector, 重定向式压力板
randomthings:plate_filteredredirector, 重定向式压力板（过滤）
randomthings:plate_redstone, 红石压力板
randomthings:plate_corrector, 校准式压力板
randomthings:plate_itemsealer, 密封式压力板（物品）
randomthings:plate_itemrejuvenator, 物品重置压力板
randomthings:plate_accelerator, 加速式压力板
randomthings:plate_accelerator_directional, 定向加速式压力板
randomthings:plate_bouncy, 弹性压力板
randomthings:plate_collection, 收集式压力板
randomthings:plate_extraction, 抽取式压力板
randomthings:stableenderpearl, 稳态末影珍珠
randomthings:biomecrystal, 生物群系水晶
randomthings:positionfilter, 方位过滤器
randomthings:summoningpendulum, 召唤师灵摆
randomthings:beans:0, 豆子
randomthings:beans:1, 次级魔豆
randomthings:beans:2, 魔豆
randomthings:beanstew, 豆汤
randomthings:redstonetool, 红石工具
randomthings:waterwalkingboots, 水上漫步者之靴
randomthings:dungeonchestgenerator, 战利品生成器
randomthings:lavacharm, 熔岩魔符
randomthings:lavawader, 熔岩魔靴
randomthings:obsidianskull, 黑曜石头颅
randomthings:obsidianskullring, 黑曜石头颅指环
randomthings:obsidianwaterwalkingboots, 水上漫步者之靴（黑曜石）
randomthings:magichood, 魔法风帽
randomthings:imbue:0, 火焰灌注药水
randomthings:imbue:1, 毒液灌注药水
randomthings:imbue:2, 经验灌注药水
randomthings:imbue:3, 凋零灌注药水
randomthings:bottleofair, 瓶装空气
randomthings:rezstone, 血石
randomthings:enderletter, 末影邮件
randomthings:entityfilter, 实体过滤器
randomthings:ingredient:0, 纤毛孢子
randomthings:ingredient:1, 恶魔之泪
randomthings:ingredient:2, 灵气
randomthings:ingredient:3, 通灵之铁
randomthings:ingredient:4, 生物群系传感器
randomthings:ingredient:5, 荧光粉
randomthings:ingredient:6, 超级滑滑剂
randomthings:ingredient:7, 飞路粉
randomthings:ingredient:8, 压力板基板
randomthings:ingredient:9, 华丽的绿宝石
randomthings:ingredient:10, 莲花
randomthings:ingredient:11, 金蛋
randomthings:ingredient:12, 通灵线
randomthings:ingredient:13, 熄光粉
randomthings:itemfilter, 物品过滤器
randomthings:redstoneactivator, 红石脉冲器
randomthings:redstoneremote, 远程红石脉冲器
randomthings:goldencompass, 黄金指南针
randomthings:blazeandsteel, 灼炎打火石
randomthings:runepattern, 符文图纸
randomthings:superlubricentboots, 超级滑滑靴
randomthings:floosign, 飞路标签
randomthings:idcard, 身份证
randomthings:emeraldcompass, 绿宝石指南针
randomthings:flootoken, 飞梭令牌
randomthings:portkey, 传送钥匙
randomthings:lotusseeds, 莲子
randomthings:soundpattern, 音乐模块
randomthings:soundrecorder, 录音机
randomthings:portablesounddampener, 便携式隔音器
randomthings:escaperope, 逃生绳
randomthings:weatheregg:0, 天气胶囊<晴天>
randomthings:weatheregg:1, 天气胶囊<雨天>
randomthings:weatheregg:2, 天气胶囊<雷暴>
randomthings:enderbucket, 末影桶
randomthings:reinforcedenderbucket, 强化末影桶
randomthings:chunkanalyzer, 区块分析器
randomthings:floopouch, 飞路粉袋
randomthings:timeinabottle, 时间之瓶
randomthings:spectreilluminator, 通灵光源
randomthings:spectrecharger:0, 通灵充能器
randomthings:spectrecharger:1, 红石通灵充能器
randomthings:spectrecharger:2, 末影通灵充能器
randomthings:spectrecharger:3, 创世纪通灵充能器
randomthings:eclipsedclock, 月蚀计
randomthings:grassseeds:0, 草籽
randomthings:grassseeds:1, 白色草籽
randomthings:grassseeds:2, 橙色草籽
randomthings:grassseeds:3, 品红色草籽
randomthings:grassseeds:4, 淡蓝色草籽
randomthings:grassseeds:5, 黄色草籽
randomthings:grassseeds:6, 黄绿色草籽
randomthings:grassseeds:7, 粉色草籽
randomthings:grassseeds:8, 灰色草籽
randomthings:grassseeds:9, 淡灰色草籽
randomthings:grassseeds:10, 青色草籽
randomthings:grassseeds:11, 紫色草籽
randomthings:grassseeds:12, 蓝色草籽
randomthings:grassseeds:13, 棕色草籽
randomthings:grassseeds:14, 绿色草籽
randomthings:grassseeds:15, 红色草籽
randomthings:grassseeds:16, 黑色草籽
randomthings:spectrekey, 通灵之钥
randomthings:spectreanchor, 通灵锚
randomthings:spectresword, 通灵之剑
randomthings:spectrepickaxe, 通灵铁镐
randomthings:spectreaxe, 通灵铁斧
randomthings:spectreshovel, 通灵铁铲
randomthings:runedust:0, 白色符文粉
randomthings:runedust:1, 橙色符文粉
randomthings:runedust:2, 品红色符文粉
randomthings:runedust:3, 淡蓝色符文粉
randomthings:runedust:4, 黄色符文粉
randomthings:runedust:5, 黄绿色符文粉
randomthings:runedust:6, 粉色符文粉
randomthings:runedust:7, 灰色符文粉
randomthings:runedust:8, 淡灰色符文粉
randomthings:runedust:9, 青色符文粉
randomthings:runedust:10, 紫色符文粉
randomthings:runedust:11, 蓝色符文粉
randomthings:runedust:12, 棕色符文粉
randomthings:runedust:13, 绿色符文粉
randomthings:runedust:14, 红色符文粉
randomthings:runedust:15, 黑色符文粉
redstonearsenal:storage:0, 红石琥珀金块
redstonearsenal:storage:1, 红石水晶块
redstonearsenal:material:0, 红石琥珀金粉末
redstonearsenal:material:32, 红石琥珀金锭
redstonearsenal:material:64, 红石琥珀金粒
redstonearsenal:material:96, 红石琥珀金齿轮
redstonearsenal:material:128, 红石琥珀金板
redstonearsenal:material:160, 红石水晶
redstonearsenal:material:192, 黑曜石手柄
redstonearsenal:material:193, 充能黑曜石手柄
redstonearsenal:material:224, 红石护甲防护板
redstonearsenal:util.quiver_flux, 红石充能箭袋
redstonearsenal:armor.helmet_flux, 红石充能头盔
redstonearsenal:armor.plate_flux, 红石充能胸甲
redstonearsenal:armor.legs_flux, 红石充能护腿
redstonearsenal:armor.boots_flux, 红石充能靴子
redstonearsenal:tool.wrench_flux, 红石充能新月锤
redstonearsenal:tool.battlewrench_flux, 红石充能战锤
redstonearsenal:tool.sword_flux, 红石充能剑
redstonearsenal:tool.shovel_flux, 红石充能锹
redstonearsenal:tool.pickaxe_flux, 红石充能镐
redstonearsenal:tool.axe_flux, 红石充能斧
redstonearsenal:tool.bow_flux, 红石充能弓
redstonearsenal:tool.fishing_rod_flux, 红石充能鱼竿
redstonearsenal:tool.sickle_flux, 红石充能镰刀
redstonearsenal:tool.hammer_flux, 红石充能锤
redstonearsenal:tool.excavator_flux, 红石充能开掘铲
redstonearsenal:tool.shield_flux, 红石充能盾
thaumadditions:mithrillium_nugget, 秘银粒
thaumadditions:adaminite_nugget, 精金粒
thaumadditions:mithrillium_ingot, 秘银锭
thaumadditions:adaminite_ingot, 精金锭
thaumadditions:mithminite_ingot, 寒晶锭
thaumadditions:mithrillium_plate, 秘银板
thaumadditions:adaminite_plate, 精金板
thaumadditions:mithminite_plate, 寒晶板
thaumadditions:seal_globe, 印记球
thaumadditions:odour_powder, 气息之尘
thaumadditions:zeith_scale, 泽伊西伦的珍品
thaumadditions:salt_essence:0, 魔力盐
thaumadditions:salt_essence:0, 魔力盐
thaumadditions:salt_essence:0, 魔力盐
thaumadditions:salt_essence:0, 魔力盐
thaumadditions:salt_essence:0, 魔力盐
thaumadditions:salt_essence:0, 魔力盐
thaumadditions:salt_essence:0, 魔力盐
thaumadditions:salt_essence:0, 魔力盐
thaumadditions:salt_essence:0, 魔力盐
thaumadditions:salt_essence:0, 魔力盐
thaumadditions:salt_essence:0, 魔力盐
thaumadditions:salt_essence:0, 魔力盐
thaumadditions:salt_essence:0, 魔力盐
thaumadditions:salt_essence:0, 魔力盐
thaumadditions:salt_essence:0, 魔力盐
thaumadditions:salt_essence:0, 魔力盐
thaumadditions:salt_essence:0, 魔力盐
thaumadditions:salt_essence:0, 魔力盐
thaumadditions:salt_essence:0, 魔力盐
thaumadditions:salt_essence:0, 魔力盐
thaumadditions:salt_essence:0, 魔力盐
thaumadditions:salt_essence:0, 魔力盐
thaumadditions:salt_essence:0, 魔力盐
thaumadditions:salt_essence:0, 魔力盐
thaumadditions:salt_essence:0, 魔力盐
thaumadditions:salt_essence:0, 魔力盐
thaumadditions:salt_essence:0, 魔力盐
thaumadditions:salt_essence:0, 魔力盐
thaumadditions:salt_essence:0, 魔力盐
thaumadditions:salt_essence:0, 魔力盐
thaumadditions:salt_essence:0, 魔力盐
thaumadditions:salt_essence:0, 魔力盐
thaumadditions:salt_essence:0, 魔力盐
thaumadditions:salt_essence:0, 魔力盐
thaumadditions:salt_essence:0, 魔力盐
thaumadditions:salt_essence:0, 魔力盐
thaumadditions:salt_essence:0, 魔力盐
thaumadditions:salt_essence:0, 魔力盐
thaumadditions:salt_essence:0, 魔力盐
thaumadditions:salt_essence:0, 魔力盐
thaumadditions:salt_essence:0, 魔力盐
thaumadditions:salt_essence:0, 魔力盐
thaumadditions:salt_essence:0, 魔力盐
thaumadditions:salt_essence:0, 魔力盐
thaumadditions:salt_essence:0, 魔力盐
thaumadditions:salt_essence:0, 魔力盐
thaumadditions:dna_sample, 生物球
thaumadditions:recharge_charm, 充能符咒
thaumadditions:seal_symbol, 印记标记: @ASPECT
thaumadditions:knowledge_tome, 知识共享之书
thaumadditions:fragnant_pendant, 芳香吊坠
thaumadditions:chester, 箱子精
thaumadditions:bone_eye, 骨之眼
thaumadditions:crafting_furnace, 冶炼合成炉
thaumadditions:mithrillium_smelter, 秘银源质冶炼厂
thaumadditions:adaminite_smelter, 精金源质冶炼厂
thaumadditions:mithminite_smelter, 寒晶源质冶炼厂
thaumadditions:aura_disperser, 灵气扩散器
thaumadditions:aspect_combiner, 源质组合装置
